Date,Team 1,FT,Team 2
Sat Aug 14 1993,SC Heerenveen,1-0,Sparta Rotterdam
Sat Aug 14 1993,Willem II,1-0,MVV
Sat Aug 14 1993,NAC Breda,2-3,Roda JC Kerkrade
Sat Aug 14 1993,Go Ahead Eagles,1-4,Vitesse
Sun Aug 15 1993,AFC Ajax,3-0,RKC Waalwijk
Sun Aug 15 1993,Feyenoord,1-0,SC Cambuur
Sun Aug 15 1993,FC Twente,3-0,VVV Venlo
Sun Aug 15 1993,FC Groningen,1-2,PSV Eindhoven
Sun Aug 15 1993,FC Volendam,2-2,FC Utrecht
Fri Aug 20 1993,SC Cambuur,1-3,NAC Breda
Sat Aug 21 1993,PSV Eindhoven,3-0,Go Ahead Eagles
Sun Aug 22 1993,Roda JC Kerkrade,2-0,FC Volendam
Sun Aug 22 1993,FC Utrecht,1-4,AFC Ajax
Sun Aug 22 1993,RKC Waalwijk,1-3,FC Twente
Sun Aug 22 1993,Sparta Rotterdam,1-0,Willem II
Wed Aug 25 1993,AFC Ajax,3-0,Sparta Rotterdam
Wed Aug 25 1993,Feyenoord,1-0,FC Twente
Wed Aug 25 1993,SC Heerenveen,0-0,PSV Eindhoven
Wed Aug 25 1993,Willem II,0-3,Vitesse
Wed Aug 25 1993,NAC Breda,4-1,VVV Venlo
Wed Aug 25 1993,FC Groningen,3-5,Roda JC Kerkrade
Wed Aug 25 1993,FC Volendam,4-1,SC Cambuur
Wed Aug 25 1993,Go Ahead Eagles,4-0,FC Utrecht
Wed Aug 25 1993,MVV,1-1,RKC Waalwijk
Sat Aug 28 1993,VVV Venlo,2-0,FC Volendam
Sun Aug 29 1993,PSV Eindhoven,2-1,Willem II
Sun Aug 29 1993,Roda JC Kerkrade,2-1,Go Ahead Eagles
Sun Aug 29 1993,FC Twente,0-1,NAC Breda
Sun Aug 29 1993,FC Utrecht,0-1,SC Heerenveen
Sun Aug 29 1993,Vitesse,0-1,AFC Ajax
Sun Aug 29 1993,Sparta Rotterdam,2-2,MVV
Sun Aug 29 1993,SC Cambuur,0-2,FC Groningen
Tue Aug 31 1993,RKC Waalwijk,1-2,Feyenoord
Wed Sep 1 1993,FC Utrecht,2-0,FC Groningen
Wed Sep 1 1993,MVV,1-1,AFC Ajax
Sat Sep 4 1993,SC Heerenveen,0-0,Roda JC Kerkrade
Sat Sep 4 1993,Willem II,4-1,FC Utrecht
Sat Sep 4 1993,Go Ahead Eagles,3-0,SC Cambuur
Sat Sep 4 1993,MVV,0-2,Vitesse
Sun Sep 5 1993,AFC Ajax,2-0,PSV Eindhoven
Sun Sep 5 1993,NAC Breda,1-2,Feyenoord
Sun Sep 5 1993,FC Groningen,0-3,VVV Venlo
Sun Sep 5 1993,FC Volendam,2-5,FC Twente
Sun Sep 5 1993,Sparta Rotterdam,1-1,RKC Waalwijk
Wed Sep 8 1993,PSV Eindhoven,4-2,MVV
Wed Sep 8 1993,Feyenoord,2-0,FC Volendam
Wed Sep 8 1993,Roda JC Kerkrade,1-1,Willem II
Wed Sep 8 1993,RKC Waalwijk,1-0,NAC Breda
Wed Sep 8 1993,Vitesse,2-0,Sparta Rotterdam
Wed Sep 8 1993,VVV Venlo,1-0,Go Ahead Eagles
Wed Sep 8 1993,SC Cambuur,1-2,SC Heerenveen
Sat Sep 11 1993,SC Heerenveen,1-0,VVV Venlo
Sat Sep 11 1993,Willem II,4-1,SC Cambuur
Sat Sep 11 1993,Sparta Rotterdam,0-0,PSV Eindhoven
Sat Sep 11 1993,MVV,2-1,FC Utrecht
Sun Sep 12 1993,AFC Ajax,2-0,Roda JC Kerkrade
Sun Sep 12 1993,FC Groningen,0-4,Feyenoord
Sun Sep 12 1993,Vitesse,4-1,RKC Waalwijk
Sun Sep 12 1993,FC Volendam,1-3,NAC Breda
Sun Sep 12 1993,Go Ahead Eagles,3-3,FC Twente
Sun Sep 19 1993,FC Twente,0-1,FC Groningen
Sun Sep 19 1993,Vitesse,3-0,SC Heerenveen
Sat Sep 25 1993,FC Utrecht,3-1,Sparta Rotterdam
Sun Sep 26 1993,Feyenoord,1-0,Go Ahead Eagles
Sun Sep 26 1993,Roda JC Kerkrade,4-1,MVV
Sun Sep 26 1993,FC Twente,2-1,SC Heerenveen
Sun Sep 26 1993,NAC Breda,2-1,FC Groningen
Sun Sep 26 1993,RKC Waalwijk,1-3,FC Volendam
Sat Oct 2 1993,PSV Eindhoven,1-1,RKC Waalwijk
Sat Oct 2 1993,Willem II,2-0,FC Twente
Sat Oct 2 1993,Go Ahead Eagles,0-0,NAC Breda
Sat Oct 2 1993,MVV,0-0,SC Cambuur
Sun Oct 3 1993,AFC Ajax,2-0,VVV Venlo
Sun Oct 3 1993,Vitesse,2-2,FC Utrecht
Sun Oct 3 1993,Sparta Rotterdam,2-0,Roda JC Kerkrade
Mon Oct 4 1993,SC Heerenveen,1-3,Feyenoord
Wed Oct 6 1993,VVV Venlo,2-1,Vitesse
Fri Oct 15 1993,Roda JC Kerkrade,2-1,Vitesse
Sat Oct 16 1993,NAC Breda,6-0,SC Heerenveen
Sat Oct 16 1993,VVV Venlo,1-7,MVV
Sat Oct 16 1993,SC Cambuur,1-1,Sparta Rotterdam
Sun Oct 17 1993,Feyenoord,2-0,Willem II
Sun Oct 17 1993,FC Twente,2-1,AFC Ajax
Sun Oct 17 1993,FC Utrecht,0-4,PSV Eindhoven
Sun Oct 17 1993,RKC Waalwijk,2-3,FC Groningen
