Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 7 Aug 1998 (31),Le Havre (1),0-0,0-0,Metz (1)
?,(Fri) 7 Aug 1998 (31),Lorient (1),1-2,1-0,Monaco (1)
?,(Sat) 8 Aug 1998 (31),Bastia (1),2-2,1-1,Montpellier (1)
?,(Sat) 8 Aug 1998 (31),Bordeaux (1),3-1,0-0,Paris SG (1)
?,(Sat) 8 Aug 1998 (31),Marseille (1),2-0,0-0,Nantes (1)
?,(Sat) 8 Aug 1998 (31),Nancy (1),1-1,0-0,Sochaux (1)
?,(Sat) 8 Aug 1998 (31),Rennes (1),1-0,1-0,Auxerre (1)
?,(Sat) 8 Aug 1998 (31),Strasbourg (1),0-0,0-0,Lyon (1)
?,(Sat) 8 Aug 1998 (31),Toulouse (1),3-2,1-1,Lens (1)
?,(Fri) 14 Aug 1998 (32),Lens (2),1-1,1-0,Lorient (2)
?,(Fri) 14 Aug 1998 (32),Lyon (2),6-1,1-0,Toulouse (2)
?,(Sat) 15 Aug 1998 (32),Auxerre (2),3-2,2-0,Nancy (2)
?,(Sat) 15 Aug 1998 (32),Le Havre (2),2-3,0-2,Bordeaux (2)
?,(Sat) 15 Aug 1998 (32),Metz (2),0-1,0-1,Marseille (2)
?,(Sat) 15 Aug 1998 (32),Monaco (2),4-1,2-1,Sochaux (2)
?,(Sat) 15 Aug 1998 (32),Montpellier (2),3-1,2-0,Rennes (2)
?,(Sat) 15 Aug 1998 (32),Nantes (2),1-0,1-0,Strasbourg (2)
?,(Sat) 15 Aug 1998 (32),Paris SG (2),2-0,1-0,Bastia (2)
?,(Sat) 22 Aug 1998 (33),Bastia (3),3-0,1-0,Metz (3)
?,(Sat) 22 Aug 1998 (33),Bordeaux (3),1-0,1-0,Auxerre (3)
?,(Sat) 22 Aug 1998 (33),Lorient (3),0-1,0-0,Lyon (3)
?,(Sat) 22 Aug 1998 (33),Marseille (3),5-4,0-4,Montpellier (3)
?,(Sat) 22 Aug 1998 (33),Nancy (3),1-0,0-0,Nantes (3)
?,(Sat) 22 Aug 1998 (33),Rennes (3),2-1,0-1,Le Havre (3)
?,(Sat) 22 Aug 1998 (33),Sochaux (3),0-4,0-0,Lens (3)
?,(Sat) 22 Aug 1998 (33),Strasbourg (3),0-1,0-0,Paris SG (3)
?,(Sat) 22 Aug 1998 (33),Toulouse (3),0-0,0-0,Monaco (3)
?,(Sat) 29 Aug 1998 (34),Le Havre (4),0-0,0-0,Marseille (4)
?,(Sat) 29 Aug 1998 (34),Lens (4),2-1,1-1,Nancy (4)
?,(Sat) 29 Aug 1998 (34),Lyon (4),1-1,1-0,Monaco (4)
?,(Sat) 29 Aug 1998 (34),Metz (4),0-2,0-1,Bordeaux (4)
?,(Sat) 29 Aug 1998 (34),Montpellier (4),3-0,1-0,Toulouse (4)
?,(Sat) 29 Aug 1998 (34),Nantes (4),2-0,1-0,Sochaux (4)
?,(Sat) 29 Aug 1998 (34),Paris SG (4),1-2,1-0,Lorient (4)
?,(Sun) 30 Aug 1998 (34),Auxerre (4),1-0,1-0,Bastia (4)
?,(Sun) 30 Aug 1998 (34),Rennes (4),1-1,1-1,Strasbourg (4)
?,(Fri) 11 Sep 1998 (36),Bastia (5),2-0,1-0,Le Havre (5)
?,(Fri) 11 Sep 1998 (36),Bordeaux (5),3-1,0-0,Montpellier (5)
?,(Fri) 11 Sep 1998 (36),Marseille (5),1-1,0-0,Rennes (5)
?,(Fri) 11 Sep 1998 (36),Nancy (5),0-0,0-0,Paris SG (5)
?,(Fri) 11 Sep 1998 (36),Sochaux (5),1-2,1-1,Lyon (5)
?,(Fri) 11 Sep 1998 (36),Strasbourg (5),0-0,0-0,Metz (5)
?,(Fri) 11 Sep 1998 (36),Toulouse (5),2-3,1-1,Nantes (5)
?,(Sat) 12 Sep 1998 (36),Lorient (5),1-1,1-1,Auxerre (5)
?,(Sat) 12 Sep 1998 (36),Monaco (5),2-0,0-0,Lens (5)
