Round,Date,Day,Week,Team 1,Team 2,FT,HT
?,2014-08-08,Fri,31,Reims,Paris SG,2-2,2-1
?,2014-08-09,Sat,31,Bastia,Marseille,3-3,1-2
?,2014-08-09,Sat,31,Evian Thonon Gaillard,Caen,0-3,0-3
?,2014-08-09,Sat,31,Guingamp,St Etienne,0-2,0-1
?,2014-08-09,Sat,31,Lille,Metz,0-0,0-0
?,2014-08-09,Sat,31,Montpellier,Bordeaux,0-1,0-1
?,2014-08-09,Sat,31,Nantes,Lens,1-0,0-0
?,2014-08-09,Sat,31,Nice,Toulouse,3-2,1-2
?,2014-08-10,Sun,31,Lyon,Rennes,2-0,0-0
?,2014-08-10,Sun,31,Monaco,Lorient,1-2,0-1
?,2014-08-15,Fri,32,Caen,Lille,0-1,0-0
?,2014-08-16,Sat,32,Lens,Guingamp,0-1,0-0
?,2014-08-16,Sat,32,Lorient,Nice,0-0,0-0
?,2014-08-16,Sat,32,Metz,Nantes,1-1,1-1
?,2014-08-16,Sat,32,Paris SG,Bastia,2-0,1-0
?,2014-08-16,Sat,32,Rennes,Evian Thonon Gaillard,6-2,3-1
?,2014-08-16,Sat,32,Toulouse,Lyon,2-1,2-0
?,2014-08-17,Sun,32,Bordeaux,Monaco,4-1,0-1
?,2014-08-17,Sun,32,Marseille,Montpellier,0-2,0-1
?,2014-08-17,Sun,32,St Etienne,Reims,3-1,0-1
?,2014-08-22,Fri,33,Evian Thonon Gaillard,Paris SG,0-0,0-0
?,2014-08-23,Sat,33,Bastia,Toulouse,1-0,1-0
?,2014-08-23,Sat,33,Guingamp,Marseille,0-1,0-0
?,2014-08-23,Sat,33,Lille,Lorient,2-0,0-0
?,2014-08-23,Sat,33,Montpellier,Metz,2-0,1-0
?,2014-08-23,Sat,33,Nice,Bordeaux,1-3,1-1
?,2014-08-23,Sat,33,Reims,Caen,0-2,0-0
?,2014-08-24,Sun,33,Lyon,Lens,0-1,0-1
?,2014-08-24,Sun,33,Nantes,Monaco,0-1,0-1
?,2014-08-24,Sun,33,St Etienne,Rennes,0-0,0-0
?,2014-08-29,Fri,34,Marseille,Nice,4-0,2-0
?,2014-08-30,Sat,34,Caen,Rennes,0-1,0-0
?,2014-08-30,Sat,34,Lens,Reims,4-2,1-1
?,2014-08-30,Sat,34,Lorient,Guingamp,4-0,0-0
?,2014-08-30,Sat,34,Monaco,Lille,1-1,0-1
?,2014-08-30,Sat,34,Nantes,Montpellier,1-0,0-0
?,2014-08-30,Sat,34,Toulouse,Evian Thonon Gaillard,1-0,0-0
?,2014-08-31,Sun,34,Bordeaux,Bastia,1-1,0-1
?,2014-08-31,Sun,34,Metz,Lyon,2-1,0-0
?,2014-08-31,Sun,34,Paris SG,St Etienne,5-0,2-0
?,2014-09-12,Fri,36,Lyon,Monaco,2-1,1-1
?,2014-09-13,Sat,36,Bastia,Lens,1-1,0-1
?,2014-09-13,Sat,36,Montpellier,Lorient,1-0,1-0
?,2014-09-13,Sat,36,Nice,Metz,1-0,0-0
?,2014-09-13,Sat,36,Reims,Toulouse,2-0,1-0
?,2014-09-13,Sat,36,Rennes,Paris SG,1-1,0-1
?,2014-09-13,Sat,36,St Etienne,Caen,1-0,0-0
?,2014-09-14,Sun,36,Evian Thonon Gaillard,Marseille,1-3,0-2
?,2014-09-14,Sun,36,Guingamp,Bordeaux,2-1,2-0
?,2014-09-14,Sun,36,Lille,Nantes,2-0,0-0
?,2014-09-19,Fri,37,Bordeaux,Evian Thonon Gaillard,2-1,1-0
?,2014-09-20,Sat,37,Lorient,Reims,0-1,0-0
?,2014-09-20,Sat,37,Marseille,Rennes,3-0,0-0
?,2014-09-20,Sat,37,Metz,Bastia,3-1,1-1
?,2014-09-20,Sat,37,Nantes,Nice,2-1,2-0
?,2014-09-20,Sat,37,Toulouse,Caen,3-3,1-1
?,2014-09-21,Sun,37,Lens,St Etienne,0-1,0-0
?,2014-09-21,Sun,37,Lille,Montpellier,0-0,0-0
?,2014-09-21,Sun,37,Monaco,Guingamp,1-0,1-0
?,2014-09-21,Sun,37,Paris SG,Lyon,1-1,1-0
?,2014-09-23,Tue,38,Reims,Marseille,0-5,0-2
?,2014-09-23,Tue,38,Rennes,Toulouse,0-3,0-1
?,2014-09-24,Wed,38,Bastia,Nantes,0-0,0-0
?,2014-09-24,Wed,38,Caen,Paris SG,0-2,0-1
?,2014-09-24,Wed,38,Evian Thonon Gaillard,Lens,2-1,2-0
?,2014-09-24,Wed,38,Guingamp,Metz,0-1,0-1
?,2014-09-24,Wed,38,Lyon,Lorient,4-0,2-0
?,2014-09-24,Wed,38,Montpellier,Monaco,0-1,0-0
?,2014-09-24,Wed,38,Nice,Lille,1-0,1-0
?,2014-09-25,Thu,38,St Etienne,Bordeaux,1-1,1-1
?,2014-09-27,Sat,38,Lille,Bastia,1-0,1-0
?,2014-09-27,Sat,38,Lorient,Evian Thonon Gaillard,0-2,0-1
?,2014-09-27,Sat,38,Metz,Reims,3-0,0-0
?,2014-09-27,Sat,38,Monaco,Nice,0-1,0-1
?,2014-09-27,Sat,38,Montpellier,Guingamp,2-1,0-0
?,2014-09-27,Sat,38,Toulouse,Paris SG,1-1,1-1
?,2014-09-28,Sun,38,Bordeaux,Rennes,2-1,0-0
?,2014-09-28,Sun,38,Lens,Caen,0-0,0-0
?,2014-09-28,Sun,38,Marseille,St Etienne,2-1,2-0
?,2014-09-28,Sun,38,Nantes,Lyon,1-1,0-0
?,2014-10-03,Fri,39,Reims,Bordeaux,1-0,1-0
?,2014-10-04,Sat,39,Bastia,Lorient,0-2,0-0
?,2014-10-04,Sat,39,Caen,Marseille,1-2,0-0
?,2014-10-04,Sat,39,Evian Thonon Gaillard,Metz,3-0,0-0
?,2014-10-04,Sat,39,Nice,Montpellier,1-1,0-0
?,2014-10-04,Sat,39,Rennes,Lens,2-0,0-0
?,2014-10-05,Sun,39,Guingamp,Nantes,0-1,0-1
?,2014-10-05,Sun,39,Lyon,Lille,3-0,2-0
?,2014-10-05,Sun,39,Paris SG,Monaco,1-1,0-0
?,2014-10-05,Sun,39,St Etienne,Toulouse,0-1,0-1
?,2014-10-17,Fri,41,Lens,Paris SG,1-3,1-2
?,2014-10-18,Sat,41,Lille,Guingamp,1-2,0-1
?,2014-10-18,Sat,41,Lorient,St Etienne,0-1,0-0
?,2014-10-18,Sat,41,Metz,Rennes,0-0,0-0
?,2014-10-18,Sat,41,Monaco,Evian Thonon Gaillard,2-0,1-0
?,2014-10-18,Sat,41,Nantes,Reims,1-1,1-0
?,2014-10-18,Sat,41,Nice,Bastia,0-1,0-0
?,2014-10-19,Sun,41,Bordeaux,Caen,1-1,1-0
?,2014-10-19,Sun,41,Lyon,Montpellier,5-1,2-0
